用户,是否看过,五星评分,评论时间,有用数,评论内容
最简单的立春日,看过,力荐,2018-05-11 02:30:35,950,建议复联4明天上映。
焚紙樓,看过,较差,2018-04-25 23:27:33,459,復仇者覺得地球碰上霉運，我倒覺得是薩諾斯矇中了好運──試想，如果洛基不偷方塊，方塊留在阿斯加，薩諾斯和泰坦族即便本事通天，又焉能在場地Buff下火力無限血條無限的奧丁家長女面前奪寶？怕不是一進神域就被扒了手套暨頭皮。你大姐還是你大姐，就算戲約不在依舊能刷存在感阿。
柯里昂,看过,推荐,2018-05-11 06:04:45,1507,"美队护钻忙，灭霸单手我来扛
铁人护钻忙，怒拿一血负重伤
雷神护钻忙，视死如归正面刚
博士护钻忙，机会渺茫也无妨
星爵护钻忙，银护从此无鸳鸯
黑豹护钻忙，瓦坎达里战一场
寡姐护钻忙，纵使强敌也不慌
蜘蛛护钻忙，一往无前好儿郎
阿灭抢钻忙，灰飞烟灭笑称王
粉丝抢救忙，一呼一吸透心凉"
有心打扰,看过,推荐,2018-04-25 13:26:38,1049,一直以为自己是漫威的路人，但看完《复联3》才知道漫威最强大的地方就是把每个人物都润物无声写进了你的心里，好几处泪眼婆娑。真的不要被剧透，这样你会多几次虐心，因为你不知道挂的究竟是谁。第一次看完漫威心情如此的down…节奏、视觉、情感全部被照顾到了！无限期待《复联4》！！！
你大豪爷,看过,力荐,2018-05-12 01:46:25,675,我就是好奇托尼怎么回地球……留在火星种土豆？？？
殇潮|Enigma,看过,还行,2018-04-25 18:50:16,1440,最大的笑话大概是灭霸的眼泪？
糯木,看过,力荐,2018-04-26 00:50:12,708,啊这个结尾的方式真的万万没想到，太不类型了，一点都不类型。现实、直接、举重若轻，居然还带点诗意。本来觉得看完复联3我就漫威毕业了，但是现在，我需要马上看到复联4，立刻！马上！！
judy,看过,较差,2018-04-26 11:57:20,381,人物過多到每個都只是出來露個臉表示我在。戲份較多的是反派Thanos，但也不覺塑造有到豐滿，連父女情都頗單薄。武戲精彩度也有降...且漫威一直加插笑點的路線，頻頻打斷這部正劇走向的劇情情緒...而所謂3和4實際就上下集關係。至於映前猜測誰死的話題...其實...根本不需煩惱吧...
小十三,看过,力荐,2018-04-28 13:07:41,645,建议小蜘蛛和钢铁侠出一部泡沫情景喜剧《老学究与小学生》，或者奇异博士和钢铁侠出一档综艺《嘴炮大擂台》，这两个组合我愿意再看几十年。意外发现冬兵和火箭放在一起也挺萌的。
张天翼,看过,力荐,2018-05-12 11:51:20,461,下一部《复仇者联盟: 我们的阴阳两界》。此去泉台招旧部，旌旗十万斩阎罗。
